Year,Player,Country,Matches,Innings,Not_out,50s,100s,0s,Highest_score,Runs,Strike_rate,Average,Catches,Stumping
1979,"Callender, R G",Canada,2,2,0,0,0,2,0,0,0.0,0.0,0,0
1979,"Goonatillake, F R M",Sri Lanka,1,0,0,0,0,0,0,0,0.0,0.0,0,0
1979,"McKechnie, B J",New Zealand,4,2,2,0,0,0,13,17,32.08,0.0,1,0
1979,"Stott, L W",New Zealand,1,0,0,0,0,0,0,0,0.0,0.0,1,0
1979,"Valentine, J N",Canada,3,2,2,0,0,0,3,3,17.65,0.0,1,0
1979,"Croft, C E H",West Indies,4,1,1,0,0,0,0,0,0.0,0.0,0,0
1979,"de Silva, G R A",Sri Lanka,1,1,1,0,0,0,2,2,18.18,0.0,0,0
1979,"Chatfield, E J",New Zealand,1,1,1,0,0,0,3,3,33.33,0.0,0,0
1979,"Troup, G B",New Zealand,3,1,1,0,0,0,3,3,100.0,0.0,0,0
1979,"Hurst, A G",Australia,3,2,2,0,0,0,3,6,50.0,0.0,0,0
1979,"Miller, G",England,1,0,0,0,0,0,0,0,0.0,0.0,0,0
1983,"Richards, I V A",West Indies,8,7,2,2,1,0,119,367,81.19,73.4,4,0
1983,"Fowler, G",England,7,7,2,4,0,0,81,360,62.83,72.0,0,0
1983,Imran Khan,Pakistan,7,7,3,2,1,0,102,283,76.49,70.75,4,0
1983,"Lamb, A J",England,7,6,2,1,1,0,102,278,80.12,69.5,6,0
1983,"Gomes, H A",West Indies,8,7,3,3,0,0,78,258,55.97,64.5,3,0
1983,Zaheer Abbas,Pakistan,7,7,2,2,1,2,103,313,81.72,62.6,2,0
1983,Kapil Dev,India,8,8,3,0,1,0,175,303,108.99,60.6,7,0
1983,Wasim Bari,Pakistan,7,4,3,0,0,0,34,58,56.86,58.0,6,3
1983,"De Alwis, R G",Sri Lanka,6,6,3,2,0,0,59,167,105.03,55.67,5,0
1983,"Coney, J V",New Zealand,6,6,2,2,0,0,66,197,55.97,49.25,1,0
1983,"Fletcher, D A G",Zimbabwe,6,6,2,2,0,0,71,191,66.09,47.75,0,0
1983,"Yallop, G N",Australia,6,6,2,2,0,0,66,187,71.37,46.75,0,0
1983,"Dilley, G R",England,6,4,2,0,0,0,31,90,120.0,45.0,1,0
1983,"Garner, J",West Indies,4,2,1,0,0,0,37,42,87.5,42.0,3,0
1983,"Greenidge, C G",West Indies,7,7,1,1,1,0,105,250,60.53,41.67,1,0
1983,"Bacchus, S F A",West Indies,8,5,1,1,0,0,80,157,62.55,39.25,0,0
1983,"Howarth, G P",New Zealand,6,6,0,2,0,0,76,224,66.67,37.33,1,0
1983,"Vengsarkar, D B",India,2,2,1,0,0,0,32,37,50.68,37.0,1,0
1983,Javed Miandad,Pakistan,6,6,0,2,0,0,72,220,73.83,36.67,3,0
1983,"Wood, G M",Australia,5,5,1,1,0,0,73,144,56.25,36.0,1,0
1983,"Marsh, R W",Australia,6,6,2,1,0,1,50,142,110.94,35.5,8,0
1983,"Curran, K M",Zimbabwe,6,6,0,2,0,0,73,212,67.3,35.33,0,0
1983,"Chappell, T M",Australia,4,4,0,0,1,0,110,139,77.65,34.75,1,0
1983,"Haynes, D L",West Indies,8,8,1,1,0,0,88,240,55.94,34.29,5,0
